leaf1	leaf2	leaf3	leaf4
0.0050954	0.00857534	0.00758558	0.00287394	
0.00385293	0.00407432	0.00907614	0.0132286	
0.0083936	0.0124027	0.00944701	0.00775507	
0.00847729	0.00789718	0.0173638	0.00494485	
0.0241951	0.00541708	0.00423497	0.0212506	
0.00480759	0.0205677	0.0610614	0.00983032	
0.00323614	0.00671802	0.00608605	0.00217223	
0.00333481	0.00451191	0.0229577	0.00578625	
0.0119772	0.0205769	0.0117044	0.012102	
0.0120233	0.00474435	0.00313581	0.0110535	
0.00273813	0.0154026	0.0141917	0.00886688	
0.0465491	0.0245614	0.0126341	0.016085	
0.00529241	0.00388064	0.0208102	0.00712971	
0.0144837	0.00433605	0.00741654	0.014092	
0.0107429	0.00463548	0.0128962	0.00559391	
0.00387115	0.0116517	0.0141442	0.0112216	
0.00787997	0.00503747	0.00908538	0.0303715	
0.0356033	0.0624245	0.0418803	0.0202813	
0.00919489	0.0118639	0.0183296	0.00357815	
0.0146002	0.0108029	0.0406496	0.00989979	
0.0115124	0.0266943	0.00340207	0.0304642	
0.0100631	0.0137491	0.00499303	0.0232952	
0.0124052	0.0195902	0.00593828	0.009108	
0.0109214	0.0233227	0.00658128	0.0242684	
0.0119478	0.00473724	0.0166799	0.0177118	
0.0524239	0.00719304	0.00593789	0.0440903	
0.0183548	0.00730269	0.0046898	0.0103662	
0.00878041	0.00326092	0.00966896	0.00359119	
0.0198353	0.00832674	0.0126808	0.0142024	
0.0128933	0.0062154	0.0196104	0.010318	
0.0139132	0.00609278	0.0044359	0.00538078	
0.0104872	0.00599992	0.01109	0.0228897	
0.00753929	0.00273984	0.00936316	0.00507215	
0.0060495	0.00359477	0.00492067	0.00964533	
0.0073086	0.00520786	0.00971688	0.00917784	
0.0105907	0.00807658	0.0164827	0.030951	
0.00995432	0.0162765	0.00554274	0.0160008	
0.431183	0.393449	0.442919	0.465184	
0.0101819	0.0127817	0.0169381	0.0162631	
0.00968345	0.00884657	0.00989991	0.0172758	
0.00723035	0.0100956	0.0139269	0.00608969	
0.00311102	0.0237963	0.00278911	0.0134629	
0.00824158	0.0228934	0.00215451	0.00871534	
0.00412853	0.0315689	0.0101552	0.00803364	
0.00541134	0.00923348	0.0138701	0.00986849	
0.0078128	0.00394953	0.00241051	0.0041473	
N/A	N/A	N/A	N/A	
0.0377769	0.0527271	0.0143898	0.00645481	
0.0114614	0.0249646	0.0114229	0.00826589	
0.0148262	0.0198489	0.0321404	0.0235648	
N/A	N/A	N/A	N/A	
0.0151981	0.0649243	0.0576833	0.0211317	
0.00687192	0.0112957	0.00768787	0.00634486	
0.00741503	0.0146307	0.00942772	0.0116868	
0.0148431	0.0128592	0.0122203	0.00253968	
0.0152376	0.00744166	0.0073662	0.00847177	
0.00933329	0.0116916	0.00847778	0.0135013	
0.0119067	0.00617304	0.00658458	0.0151227	
0.0101064	0.0057956	0.00302766	0.00863701	
