leaf1	leaf2	leaf3	leaf4
0.742424	0.601491	0.764791	0.498076	
0.217653	0.039442	0.96633	0.655123	
0.126984	0.0649351	0.178211	0.399952	
0.202982	0.00649351	0.501203	0.662338	
0.758538	0.381914	0.797499	0.789803	
0.550265	0.701058	0.338384	0.267677	
0.459355	0.858826	0.201058	0.886243	
0.593074	0.199134	0.683261	0.842953	
0.298461	0.395623	0.679413	0.892015	
0.0709476	0.974988	0.911255	0.747234	
0.441799	0.540885	0.25974	0.270322	
0.847282	0.987253	0.936989	0.530784	
0.191198	0.572872	0.361231	0.180616	
0.029341	0.484848	0.0651756	0.152237	
0.0002405	0	0.0493025	0.032227	
0.046657	0.0012025	0.634921	0.493025	
0.10582	0.001924	0.0194805	0.146705	
0	0	0	0	
0.170515	0.338384	0.0137085	0.455507	
0.422078	0.436748	0.0493025	0.218855	
0.000962001	0.521405	0.0497835	0.029341	
0.409331	0.260702	0.0252525	0.0860991	
0.227032	0.503848	0.314334	0.179173	
0.333574	0.214767	0.12506	0.0170755	
0.450216	0.284271	0.000721501	0.0702261	
0.00889851	0.0468975	0.00962001	0.311688	
0.0137085	0.031746	0.239057	0.118807	
0.411977	0.135642	0.917268	0.360029	
0.838865	0.442039	0.139971	0.306157	
0.429533	0.627706	0.796777	0.181097	
0.60582	0.0533911	0.3076	0.042809	
0.468254	0.674363	0.156566	0.012506	
0.714526	0.639971	0.366522	0.732564	
0.00553151	0.0012025	0.217412	0.693362	
0.816979	0.288119	0.0557961	0.233285	
0.152237	0.137326	0.127225	0.117605	
0.463203	0.127225	0.358826	0.836941	
0.215248	0.38937	0.323954	0.0767196	
0.0315055	0.357624	0.0401635	0.936748	
0.246513	0.0392015	0.376142	0.335017	
0.028379	0.275132	0.546176	0.00481	
0.183983	0.0156325	0.039442	0.0012025	
0.886003	0.370851	0.509861	0.0002405	
0.674363	0.863636	0.010582	0.695286	
0.145022	0.789803	0.847282	0.913901	
0.934584	0.0016835	0.81241	0.136364	
0.181097	0.835979	0.882155	0.380952	
0.159211	0.871092	0.0913901	0.656085	
0.0680616	0.0185185	0.759259	0.140452	
0.500722	0.0851371	0.0319865	0.75493	
0.113516	0.302549	0.0769601	0.610149	
0.84127	0.839105	0.0555556	0.744589	
0.00481	0.141895	0.0459355	0.397066	
0.0002405	0.0420875	0.030303	0.658009	
0.723665	0.649351	0.652237	0.010101	
0.0805676	0.0603656	0.457672	0.821068	
0.474507	0.47619	0.813372	0.747234	
0.270563	0.599086	0.418711	0.706349	
0.212843	0.399471	0.108706	0.460558	
0.309764	0.534632	0.459355	0.611352	
0.0108225	0.251804	0.0012025	0.015392	
0.334295	0.27874	0.748918	0.784993	
0	0	0	0	
0.0449735	0.185426	0.60558	0.746994	
0.00481	0.530544	0.439153	0.0502646	
0.147186	0.821308	0.900914	0.833333	
0.641414	0.830207	0.512266	0.784752	
0.21164	0.151515	0.708033	0.74026	
0.044252	0.193843	0.457912	0.0646946	
0.545214	0.215248	0.71645	0.0416065	
0.265993	0.805195	0.798701	0.00649351	
0.570948	0.250842	0.246032	0.140452	
0.976431	0.284271	0.164502	0.378307	
0.682059	0.975709	0.715488	0.626022	
0.287157	0.523569	0.50481	0.752766	
0.136845	0.193603	0.207071	0.003848	
0.692881	0.477152	0.595719	0.605099	
0.0661376	0.361231	0.766474	0.305676	
0.429774	0.691919	0.0430495	0.0137085	
0.270322	0.025493	0.175565	0.183021	
0.673641	0.45695	0.748677	0.452621	
0.16811	0.302549	0.239057	0.018759	
0.637807	0.456229	0.469937	0.333574	
0.299182	0.12482	0.629149	0.389129	
0.270803	0.648629	0.334295	0.666426	
0.922078	0.499519	0.690717	0.235931	
0.457912	0.486051	0.474266	0.751323	
0.851611	0.799663	0.316258	0.526455	
0.39442	0.199134	0.659452	0.90861	
0.0016835	0.032227	0.550746	0.644781	
0	0	0	0	
N/A	N/A	N/A	N/A	
0.745791	0.207071	0.810726	0.0567581	
0.736652	0.719817	0.170996	0.309764	
0.833814	0.160654	0.259259	0.536316	
N/A	N/A	N/A	N/A	
0.636604	0.67797	0.314334	0.608466	
0.707552	0.732564	0.412698	0.799663	
0.645503	0.608466	0.585378	0.107504	
0.452621	0.407648	0.517316	0.304473	
0.188552	0.587783	0.184464	0.191198	
0.824435	0.31746	0.411015	0.31746	
0.416306	0.21164	0.411736	0.162819	
0.0271765	0.214045	0.374218	0.446128	
0	0	0	0	
0.0545936	0.0692641	0.947571	0.359788	
0.0175565	0.276094	0.664983	0.16835	
0.0444925	0.0392015	0.235931	0.479557	
0.603656	0.132035	0.0974026	0.3367	
0.108466	0.242905	0.0045695	0.824435	
0.030784	0.279942	0.267436	0.166907	
0.21164	0.21164	0.270563	0.0928331	
0.987975	0.246513	0.0767196	0.0658971	
0.909091	0.848244	0.918711	0.599086	
0.136604	0.335017	0.106061	0.250361	
0.0709476	0.036075	0.250842	0.21164	
0.672198	0.132756	0.354738	0.013468	
0.808802	0.843915	0.605099	0.938191	
0.946368	0.627225	0.911496	0.232804	
0.392737	0.595238	0.0276575	0.299423	
0.684704	0.64911	0.119529	0.483165	
0.408129	0.0933141	0.77417	0.0305435	
0.01443	0.374218	0.0185185	0.0603656	
0.308321	0.001924	0.490861	0.244348	
0.821789	0.675084	0.547138	0.770322	
0.706349	0.773208	0.97619	0.587783	
0.530544	0.0913901	0.012987	0.0040885	
0.145022	0.388889	0.345839	0.670755	
0.70202	0.145743	0.671477	0.0709476	
0.601732	0.412698	0.771525	0.827321	
0.119529	0.58153	0.280183	0.537999	
0.542328	0.795575	0.270563	0.325156	
0.520683	0.560847	0.15368	0.03367	
0.0889851	0.689995	0.128187	0.185666	
0.234007	0.97138	0.0935546	0.522367	
0	0	0	0	
0.515392	0.046657	0.0670996	0.159933	
0.118567	0.02405	0.243386	0.666667	
0.133478	0.160173	0.628668	0.150072	
N/A	N/A	N/A	N/A	
0.895863	0.693122	0.410774	0.112314	
0.866041	0.875421	0.125541	0.629149	
0.378788	0.699615	0.372535	0.934584	
N/A	N/A	N/A	N/A	
0.0440115	0.803752	0.425685	0.517797	
0.215248	0.695527	0.21645	0.773208	
0.719096	0.286917	0.169312	0.967773	
0.393218	0.15368	0.224627	0.399952	
N/A	N/A	N/A	N/A	
0.170996	0.58153	0.333814	0.175806	
0.975469	0.76936	0.856662	0.654161	
0.0947571	0.792929	0.0454545	0.747956	
0.0271765	0.758778	0.234007	0.371092	
0.579846	0.234969	0.637326	0.795575	
0.488696	0.175565	0.441558	0.442761	
0	0	0	0	
0.012987	0.660173	0.191198	0.289081	
0.11039	0.0481	0.569745	0.044733	
0.125541	0.000962001	0.388167	0.250842	
0.212602	0.882876	0.671236	0.744348	
0.859788	0.873497	0.691198	0.89442	
0.348485	0.43747	0.017797	0.709957	
0.261183	0.402838	0.0711881	0.0411255	
0.691198	0.324435	0.472823	0.162819	
0.200818	0.130351	0.430495	0.528379	
0.271284	0.322751	0.0702261	0.616883	
0.31746	0.996633	0.87975	0.986532	
0.00937951	0.751323	0.339346	0.164021	
0.777537	0.938913	0.475469	0.247475	
0.307119	0.549303	0.325156	0.673401	
0.626744	0.0654161	0.489177	0.0012025	
0.217412	0.100529	0.53367	0.170755	
0.013949	0.143579	0.398268	0.0877826	
0.600048	0.663059	0.221982	0.17773	
0.000962001	0.76936	0.663059	0.244348	
0.261183	0.566619	0.80279	0.67292	
0.622415	0.140933	0.0137085	0.34632	
0.279702	0.196729	0.0045695	0.169793	
0.742424	0.0185185	0.001443	0.196248	
0.719817	0.921116	0.534873	0.209716	
0.329245	0.504089	0.190236	0.807359	
0.27417	0.607744	0.100048	0.423521	
0.164502	0.559163	0.048581	0.0281385	
0.21164	0.0440115	0.0567581	0.608466	
N/A	N/A	N/A	N/A	
0.243867	0.104618	0.00962001	0.0300625	
0.712362	0.638769	0.188071	0.219336	
0.621453	0.684704	0.875661	0.191198	
0.54786	0.456229	0.512025	0.650072	
0.675565	0.431698	0.407648	0.501203	
0.680856	0.124098	0.357864	0.415103	
0	0	0	0	
0.287398	0.162819	0.102213	0.0848966	
0.427128	0.925685	0.334536	0.0557961	
0.716691	0.224627	0.215488	0.026455	
0.622174	0.36051	0.328764	0.0695046	
0.0632516	0.414622	0.607504	0.292448	
N/A	N/A	N/A	N/A	
0.0175565	0.017316	0.700577	0.0526696	
0.693362	0.181097	0.536797	0.946368	
0.0603656	0.131554	0.495911	0.977633	
0.152237	0.5671	0.0856181	0.823954	
0.0690236	0.300144	0.286917	0.0781626	
N/A	N/A	N/A	N/A	
0.0132275	0.00649351	0.208754	0.0329485	
0.118567	0.593074	0.24026	0.510582	
0.0127465	0.230159	0.0247715	0.443963	
0.403078	0.326359	0.540885	0.142857	
0.783309	0.202261	0.205387	0.204425	
0.585137	0.44228	0.044252	0.0945166	
0.356902	0.214526	0.013949	0.136604	
0.524291	0.626263	0.69697	0.209235	
0.123377	0.152958	0.323954	0.146705	
0.249639	0.309283	0.159692	0.180856	
0.287638	0.866282	0.047138	0.460077	
0	0	0	0	
0.0695046	0.001924	0.374218	0.338384	
0.0012025	0.0401635	0.0702261	0.032227	
0.001924	0.0526696	0.028379	0.414622	
0.886003	0.938191	0.986532	0.154642	
0.190236	0.415103	0.891775	0.0757576	
0.048581	0.922559	0.618807	0.0257335	
0.124579	0.517797	0.760943	0.696729	
0.208514	0.426647	0.0817701	0.405483	
0.287157	0.398028	0.156085	0.963203	
0.156085	0.429533	0.33165	0.646224	
0.0747956	0.354016	0.446609	0.661135	
0.104137	0.475709	0.294132	0.0012025	
0.113276	0.559404	0.0016835	0.0127465	
0.0170755	0.0392015	0.64887	0.642617	
0.0411255	0.160414	0.207311	0.649351	
0.023569	0.0012025	0.002405	0.128187	
0.0233285	0.620972	0.554113	0.000962001	
0.00841751	0.846561	0.331169	0.0603656	
0.0921116	0.141655	0.145022	0.0002405	
0.870851	0.015392	0.0262145	0.119529	
0.0519481	0.882636	0.0889851	0.0040885	
0.928331	0.614478	0.0329485	0.000962001	
0.559885	0.0752766	0.625541	0.430736	
0.12001	0.0214045	0.652237	0.214767	
0.0567581	0.0654161	0.0132275	0.022126	
0.0839346	0.0392015	0.169072	0.0209235	
0.108947	0.224146	0.0367965	0.010101	
0.0392015	0.117124	0.173641	0.029341	
0.198172	0.683261	0.0406445	0.26912	
0.0310245	0.495671	0.0137085	0.0709476	
0.722944	0.273208	0.691198	0.026936	
0.160173	0.207071	0.49543	0.537037	
0.015392	0.013949	0.194805	0.017797	
0.0709476	0.222944	0.193362	0.791727	
0.145022	0.12987	0.0630111	0.411736	
0.871332	0.422559	0.001924	0.0697451	
0.482203	0.0646946	0.435786	0.524772	
0.232804	0.119048	0.395382	0.613276	
0.0913901	0.10558	0.039442	0.0194805	
0.185666	0.116883	0.420394	0.527417	
0.549062	0.704425	0.397306	0.573112	
0.733285	0.936267	0.292689	0.623858	
0.311688	0.573834	0.314815	0.55267	
0.675565	0.361231	0.381914	0.959355	
0.983405	0.202261	0.292448	0.932419	
0.409091	0.9038	0.000962001	0.00986051	
0.579125	0.0560366	0.0002405	0.00649351	
0	0	0	0	
0.234969	0.278018	0.584656	0.169793	
0.190236	0.672198	0.0933141	0.441799	
0.118567	0.01443	0.12001	0.482443	
0.385762	0.0113035	0.620972	0.298461	
0.106542	0.136364	0.441558	0.219577	
0.662097	0.59596	0.768158	0.655844	
0.332371	0.629389	0.158009	0.116162	
0.344877	0.100048	0.146946	0.0444925	
0.531506	0.31746	0.59139	0.196489	
0.032227	0.28379	0.0668591	0.0175565	
0.019721	0.162819	0.201299	0.317701	
0.421116	0.159692	0.399952	0.431457	
0.796777	0.191198	0.465368	0.270563	
