#chro	start	end	ES	NPC	CN
19	39200000	39300000	B	B	B
19	39300000	39400000	B	B	B
19	39400000	39500000	B	B	B
19	39500000	39600000	B	B	B
19	39600000	39700000	B	B	B
19	39700000	39800000	B	B	B
19	39800000	39900000	B	B	B
19	39900000	40000000	B	B	B
19	40000000	40100000	B	B	B
19	40100000	40200000	B	B	B
19	40200000	40300000	A	B	B
19	40300000	40400000	A	A	A
19	40400000	40500000	A	A	A
19	40500000	40600000	A	A	A
19	40600000	40700000	A	A	A
19	40700000	40800000	A	A	A
19	40800000	40900000	A	A	A
19	40900000	41000000	A	A	A
19	41000000	41100000	A	A	A
19	41100000	41200000	A	A	A
19	41200000	41300000	A	A	A
19	41300000	41400000	A	A	A
19	41400000	41500000	A	A	A
19	41500000	41600000	A	A	A
19	41600000	41700000	A	A	A
19	41700000	41800000	A	A	A
19	41800000	41900000	A	A	A
19	41900000	42000000	A	A	A
19	42000000	42100000	A	A	A
19	42100000	42200000	A	A	A
19	42200000	42300000	A	A	A
19	42300000	42400000	A	A	A
19	42400000	42500000	A	A	A
19	42500000	42600000	A	A	A
19	42600000	42700000	A	A	A
19	42700000	42800000	A	A	A
19	42800000	42900000	B	A	A
19	42900000	43000000	B	B	A
19	43000000	43100000	B	B	B
19	43100000	43200000	B	B	B
19	43200000	43300000	B	B	B
19	43300000	43400000	B	B	B
19	43400000	43500000	A	A	A
19	43500000	43600000	A	A	A
19	43600000	43700000	A	A	A
19	43700000	43800000	A	A	A
19	43800000	43900000	A	A	A
19	43900000	44000000	A	A	A
19	44000000	44100000	A	A	A
19	44100000	44200000	A	A	A
19	44200000	44300000	A	A	A
19	44300000	44400000	A	A	A
19	44400000	44500000	A	A	A
19	44500000	44600000	A	A	A
19	44600000	44700000	A	A	A
19	44700000	44800000	A	A	A
19	44800000	44900000	A	A	A
19	44900000	45000000	A	A	A
19	45000000	45100000	A	A	A
19	45100000	45200000	A	A	A
19	45200000	45300000	A	A	A
19	45300000	45400000	A	A	A
19	45400000	45500000	A	A	A
19	45500000	45600000	A	A	A
19	45600000	45700000	A	A	A
19	45700000	45800000	A	A	A
19	45800000	45900000	A	A	A
19	45900000	46000000	A	A	A
19	46000000	46100000	A	A	A
19	46100000	46200000	A	A	A
19	46200000	46300000	A	A	A
19	46300000	46400000	A	A	A
19	46400000	46500000	A	A	A
19	46500000	46600000	A	A	A
19	46600000	46700000	A	A	A
19	46700000	46800000	A	A	A
19	46800000	46900000	A	A	A
19	46900000	47000000	A	A	A
19	47000000	47100000	A	A	A
19	47100000	47200000	A	A	A
19	47200000	47300000	A	A	A
19	47300000	47400000	A	A	A
19	47400000	47500000	A	A	A
19	47500000	47600000	A	A	A
19	47600000	47700000	A	A	A
19	47700000	47800000	A	A	A
19	47800000	47900000	A	A	A
19	47900000	48000000	A	A	A
19	48000000	48100000	B	B	B
19	48100000	48200000	B	B	B
19	48200000	48300000	B	B	B
19	48300000	48400000	B	B	B
19	48400000	48500000	B	B	B
19	48500000	48600000	B	B	B
19	48600000	48700000	B	B	B
19	48700000	48800000	B	B	B
19	48800000	48900000	B	B	B
19	48900000	49000000	B	B	B
19	49000000	49100000	B	B	B
19	49100000	49200000	B	B	B
19	49200000	49300000	B	B	B
19	49300000	49400000	B	B	B
19	49400000	49500000	B	B	B
19	49500000	49600000	B	B	B
19	49600000	49700000	B	B	B
19	49700000	49800000	B	B	B
19	49800000	49900000	B	B	B
19	49900000	50000000	B	B	B
19	50000000	50100000	B	B	B
19	50100000	50200000	B	B	B
19	50200000	50300000	B	B	B
19	50300000	50400000	B	A	A
19	50400000	50500000	B	A	A
19	50500000	50600000	B	A	A
19	50600000	50700000	B	A	A
19	50700000	50800000	B	B	B
19	50800000	50900000	B	B	B
19	50900000	51000000	B	B	B
19	51000000	51100000	B	B	B
19	51100000	51200000	B	B	B
19	51200000	51300000	B	B	B
19	51300000	51400000	B	B	B
19	51400000	51500000	B	B	B
19	51500000	51600000	B	B	B
19	51600000	51700000	B	B	B
19	51700000	51800000	B	B	B
19	51800000	51900000	B	B	B
19	51900000	52000000	B	B	B
19	52000000	52100000	B	B	B
19	52100000	52200000	B	B	B
19	52200000	52300000	B	B	B
19	52300000	52400000	B	B	B
19	52400000	52500000	B	B	B
19	52500000	52600000	B	B	B
19	52600000	52700000	B	B	B
19	52700000	52800000	B	B	B
19	52800000	52900000	B	B	B
19	52900000	53000000	B	B	B
19	53000000	53100000	A	A	A
19	53100000	53200000	A	A	A
19	53200000	53300000	A	A	A
19	53300000	53400000	A	A	A
19	53400000	53500000	A	A	A
19	53500000	53600000	A	A	A
19	53600000	53700000	A	A	A
19	53700000	53800000	A	A	A
19	53800000	53900000	A	A	A
19	53900000	54000000	A	A	A
19	54000000	54100000	A	A	A
19	54100000	54200000	B	B	B
19	54200000	54300000	B	B	B
19	54300000	54400000	B	B	B
19	54400000	54500000	B	B	B
19	54500000	54600000	B	B	B
19	54600000	54700000	B	B	B
19	54700000	54800000	B	B	B
19	54800000	54900000	B	B	B
19	54900000	55000000	B	B	B
19	55000000	55100000	B	A	B
19	55100000	55200000	A	A	A
19	55200000	55300000	A	A	A
19	55300000	55400000	A	A	A
19	55400000	55500000	A	A	A
19	55500000	55600000	A	A	A
19	55600000	55700000	A	A	A
19	55700000	55800000	A	A	A
19	55800000	55900000	A	A	A
19	55900000	56000000	A	A	A
19	56000000	56100000	B	A	A
19	56100000	56200000	A	A	A
19	56200000	56300000	A	A	A
19	56300000	56400000	A	A	A
19	56400000	56500000	A	A	A
19	56500000	56600000	A	A	A
19	56600000	56700000	A	A	A
19	56700000	56800000	A	A	A
19	56800000	56900000	A	A	A
19	56900000	57000000	A	A	A
19	57000000	57100000	A	A	A
19	57100000	57200000	A	A	A
19	57200000	57300000	A	A	A
19	57300000	57400000	A	A	A
19	57400000	57500000	A	A	A
19	57500000	57600000	A	A	A
19	57600000	57700000	A	A	A
19	57700000	57800000	A	A	A
19	57800000	57900000	A	A	A
19	57900000	58000000	A	A	A
19	58000000	58100000	A	A	A
19	58100000	58200000	B	A	A
19	58200000	58300000	B	A	A
19	58300000	58400000	A	A	A
19	58400000	58500000	A	A	A
19	58500000	58600000	A	A	A
19	58600000	58700000	A	A	A
19	58700000	58800000	A	A	A
19	58800000	58900000	A	A	A
19	58900000	59000000	A	A	A
19	59000000	59100000	A	A	A
19	59100000	59200000	A	A	A
19	59200000	59300000	A	A	A
19	59300000	59400000	A	A	A
19	59400000	59500000	A	A	A
19	59500000	59600000	B	A	A
19	59600000	59700000	B	A	A
19	59700000	59800000	B	A	A
19	59800000	59900000	B	A	A
19	59900000	60000000	B	A	A
19	60000000	60100000	B	A	A
19	60100000	60200000	A	A	A
19	60200000	60300000	A	A	A
19	60300000	60400000	B	A	A
19	60400000	60500000	B	A	A
19	60500000	60600000	A	A	A
19	60600000	60700000	A	B	A
19	60700000	60800000	A	A	A
19	60800000	60900000	A	A	A
19	60900000	61000000	B	B	B
19	61000000	61100000	B	B	B
19	61100000	61200000	A	B	B
19	61200000	61300000	A	B	B
19	61300000	61400000	A	B	B
