leaf1	leaf2	leaf3	leaf4
0.0412458	0.0224266	0.0478956	0.0322391	
0.0448773	0.0270563	0.027381	0.0292448	
0.0207191	0.040849	0.0388648	0.0182059	
0.00545936	0.0370972	0.015885	0.036544	
0.0049062	0.0253127	0.0137927	0.0167869	
0.00746753	0.0355459	0.023569	0.0172559	
0.000661376	0.00200818	0.0019721	0.0018759	
0.00329485	0.00619288	0.00778018	0.0286917	
0.0393939	0.0164743	0.0458153	0.0252044	
0.0277658	0.0131313	0.0305796	0.0223545	
0.0335859	0.0106421	0.0433983	0.0315897	
0.0399591	0.0273208	0.0308442	0.0478235	
0.0448052	0.04424	0.0261664	0.0158129	
0.0271765	0.0176527	0.0251804	0.0299784	
0.026936	0.0297138	0.0105339	0.04133	
0.00613276	0.0388408	0.0434464	0.00769601	
0.0411135	0.00818903	0.00239298	0.023557	
0.046633	0.0340067	0.03652	0.0491222	
0.0464286	0.0424002	0.00645743	0.0378307	
0.0178571	0.00822511	0.0188071	0.0179774	
0.0177609	0.0414743	0.047102	0.0205026	
0.0478355	0.012482	0.0140212	0.0262506	
0.00276575	0.00592833	0.0166186	0.0120491	
0.0389129	0.0449254	0.00776816	0.0325397	
0.0137927	0.0431337	0.0315536	0.014442	
0.0206349	0.0420034	0.0160414	0.0385762	
0.0446729	0.0194324	0.0141053	0.0201178	
0.0290524	0.0404882	0.0261183	0.00429293	
0.00340308	0.0024531	0.00277778	0.00828523	
0.024988	0.0189634	0.00972823	0.0459355	
0.0135762	0.0214286	0.00282588	0.0233165	
0.0188071	0.00520683	0.0462722	0.0042328	
0.022595	0.014911	0.0407407	0.00663781	
0.0170274	0.00889851	0.0371573	0.0255171	
0.020202	0.00652958	0.0346801	0.00618086	
0.0179533	0.0415103	0.0112193	0.0103175	
0.0023569	0.0324675	0.0371453	0.00280183	
0.00958393	0.0320467	0.0419793	0.0220539	
0.0260582	0.0468374	0.024519	0.0459115	
0.00839346	0.0282949	0.0165464	0.0142496	
0.0161496	0.0358947	0.00869408	0.0221501	
0.0145863	0.0363636	0.0428331	0.0393819	
0.0212121	0.0367845	0.0202742	0.00673401	
0.0303151	0.048088	0.0253848	0.0408129	
0.0362073	0.0457912	0.0411255	0.0239177	
0.0313973	0.0398028	0.0243627	0.0253247	
0.0210077	0.0291005	0.0114358	0.00412458	
0.0228716	0.0114598	0.0385883	0.0121453	
0.00194805	0.000468975	0.0002405	0.00181578	
0.0221861	0.0167629	0.0108225	0.0118326	
0.0237614	0.026419	0.0238215	0.0106662	
0.0316979	0.0229798	0.0143218	0.0367244	
0.0469336	0.00618086	0.0479197	0.0154401	
0.0275974	0.00673401	0.0492184	0.0267316	
0.0436989	0.00395623	0.0229197	0.0291126	
0.03848	0.0252044	0.014406	0.0234127	
0.029341	0.0446128	0.0487013	0.0441679	
N/A	N/A	N/A	N/A	
0.0031746	0.0022126	0.0138047	0.0352333	
0.0189755	0.00580808	0.0194685	0.0281506	
0.0131674	0.00875421	0.00381193	0.00646946	
N/A	N/A	N/A	N/A	
0.0127706	0.0022607	0.00222463	0.00765993	
0.0329485	0.0201539	0.0304353	0.0356421	
0.0308923	0.0135642	0.0252285	0.0189755	
0.0131914	0.0166426	0.0176647	0.0484728	
0.0126142	0.0314935	0.0318062	0.0274291	
0.0246152	0.0193963	0.0280904	0.015392	
0.0180135	0.0360991	0.0346681	0.0131794	
0.0225349	0.0376623	0.0474146	0.0269721	
0.0338865	0.0213925	0.0407167	0.0137927	
0.0341631	0.0332131	0.044697	0.0220418	
0.0300505	0.015404	0.045671	0.0173761	
0.0015873	0.000481	0.00108225	0.000661376	
0.00840548	0.00419673	0.0185786	0.0118086	
0.0188672	0.0246152	0.012999	0.0233766	
0.0299062	0.0348966	0.032215	0.025457	
0.0329966	0.0426407	0.015861	0.0128307	
0.0129028	0.0444685	0.0180255	0.0378187	
0.0443843	0.0454305	0.0389129	0.0126383	
0.0315536	0.0188672	0.0284031	0.0442761	
0.0263348	0.0264671	0.04614	0.0186628	
N/A	N/A	N/A	N/A	
0.0111231	0.022583	0.0332852	0.0405243	
0.0146465	0.0128427	0.0225469	0.0345118	
0.0247475	0.0190236	0.0330568	0.0118807	
0.000180375	0.000685426	0.00189995	0.000348725	
0.0106421	0.0023088	0.00412458	0.00719096	
0.0042809	0.0031746	0.0131914	0.00299423	
0.0126383	0.0113035	0.00292208	0.00734728	
0.00175565	0.000396825	0.00203223	0.0001443	
0.0234969	0.0199615	0.0233766	0.0256013	
0.0154521	0.0251804	0.0357744	0.0139129	
0.042328	0.0415584	0.0346561	0.00915103	
0.0409211	0.0473906	0.0462362	0.0307119	
0.0331289	0.0412819	0.0126022	0.0260101	
0.0367124	0.0304954	0.0354978	0.0368927	
0.038937	0.0436027	0.048545	0.0164502	
0.0425806	0.0374098	0.0436508	0.0326359	
0.0180736	0.00734728	0.0494108	0.0397908	
0.0128427	0.00934343	0.015368	0.0277537	
0.0169673	0.00382395	0.0327682	0.0401635	
0.0431818	0.0271645	0.0445767	0.0447451	
0.0347643	0.0412338	0.025457	0.0211039	
0.030303	0.0467172	0.0169793	0.0474146	
0.036532	0.0173761	0.0406926	0.0462121	
0.0225108	0.0277778	0.0405363	0.047607	
0.00970418	0.0494228	0.0481361	0.0433983	
0.0295455	0.03462	0.0205988	0.0212362	
0.046176	0.0496753	0.0488215	0.0343314	
0.016342	0.036063	0.0264791	0.0161135	
0.00633718	0.0323232	0.00930736	0.0145022	
0.0022607	0.00026455	0.00823713	0.00679413	
0.00792448	0.0025974	0.0387326	0.0325517	
0.0114959	0.00305435	0.00545936	0.0142617	
0.00111833	0.0011063	0.00117845	6.01251e-05	
0.0153439	0.0249038	0.00479798	0.0306277	
0.0284151	0.0299423	0.00826118	0.0185426	
0.00272968	0.0335498	0.00827321	0.00643338	
0.0276455	0.0209716	0.00589226	0.0106421	
0.0184584	0.0329485	0.0240139	0.0160173	
0.0243146	0.0186869	0.0128187	0.00531506	
0.0299784	0.0223785	0.00248918	0.00981241	
0.00417268	0.00817701	0.00426888	0.0233886	
0.0047138	0.00657768	0.0196248	0.0127225	
0.0278379	0.013444	0.0483646	0.0258538	
0.0460317	0.0302068	0.0136484	0.0231	
0.0288119	0.0383117	0.0445527	0.0162217	
0.037025	0.00867003	0.0237494	0.00752766	
0.0308081	0.0402116	0.0142977	0.00467773	
0.0415464	0.0386123	0.0267677	0.0427609	
0.0037518	0.00263348	0.0183622	0.0415344	
0.0452501	0.0226311	0.00864598	0.0194925	
0.0143458	0.0135883	0.0130111	0.0126864	
0.0304954	0.0129389	0.0263588	0.046152	
0.0179173	0.0275253	0.0245911	0.0100649	
0.00661376	0.0257696	0.00714286	0.0488095	
0.0194084	0.00732323	0.0273088	0.0245671	
0.00626503	0.0219096	0.0351852	0.00369168	
0.0160053	0.00505051	0.00708273	0.0026455	
0.0471741	0.0265031	0.0331169	0.00223665	
0.0398629	0.0468013	0.00443723	0.0415825	
0.0140332	0.0445767	0.0462843	0.0482684	
0.0485329	0.00284993	0.0450457	0.0136364	
0.0159331	0.0461039	0.0472463	0.026924	
0.0146344	0.0469937	0.0108947	0.0398148	
0.00941558	0.00537518	0.04329	0.0138889	
